cleaned_source,cleaned_target
the policeman took the knife from the boy.,START_ प्रहरी जवानले केटाबाट छुरी लिए। _END
the question is who will go there for tom.,"START_ प्रश्न यो छ, टमको लागि त्यहाँ को जानेछ? _END"
there is a parking lot behind the theater.,START_ थिएटरको पछाडि एउटा पार्किङ छ। _END
this is one of the best-selling cookbooks.,START_ यो सबैभन्दा धेरै बिक्री हुने कुकबुकहरू मध्ये एक हो। _END
tom didnt seem to know anything about it.,START_ टमलाई यसबारे सबै थाहा भए जस्तो देखिदैनथ्यो। _END
tom doesnt seem to agree with you at all.,START_ टम तपाईंसँग बिलकुलै सहमत छैन जस्तो देखिन्छ। _END
tom doesnt seem to agree with you at all.,START_ टम तपाईंसँग बिलकुल सहमत छ जस्तो देखिँदैन। _END
tom doesnt seem to be enjoying the party.,START_ टम पार्टीको मजा लिइरहेको जस्तो देखिदैन। _END
tom gave his father a tie on fathers day.,START_ टमले आफ्नो बुबालाई फादर्स डेमा टाई दिए। _END
tom gave his father a tie on fathers day.,START_ टमले आफ्नो बुबालाई बुबा को मुख हेर्ने दिनमा टाई दिए। _END
tom has a friend who is a wrestling coach.,START_ टमको एक साथी छन् जो कुश्तीका प्रशिक्षक हुन्। _END
tom no longer works as much as he used to.,START_ टमले पहिलेको जस्तो काम गर्दैनन्। _END
tom said something that he shouldnt have.,START_ टमले आफुले भन्न नहुने कुरा भने। _END
tom should be getting ready for the party.,START_ टम पार्टीको लागि तयार हुनुपर्दछ। _END
tom told mary that hed agreed to do that.,START_ टमले मेरीलाई भने कि उनी त्यसो गर्न सहमत छन्। _END
tom was kind of chubby in the third grade.,START_ टम तेस्रो कक्षामा एक प्रकारको मोटो थियो। _END
what does being a good mother mean to you?,START_ तपाईलाई असल आमा हुनुको अर्थ के हो? _END
why did tom decide not to go to australia?,START_ टमले किन अस्ट्रेलिया नजाने निर्णय गरे? _END
you could do that if you really wanted to.,START_ यदि तपाईं साँच्चै चाहनुहुन्छ भने तपाईंले त्यो गर्न सक्नुहुन्छ। _END
you could do that if you really wanted to.,START_ यदि तिमी साँच्चै चाहान्छौ भने तिमीले त्यो गर्न सक्छौ। _END
concert tickets are on sale at this office.,START_ यस कार्यालयमा कन्सर्टका टिकटहरू बिक्रीमा छन्। _END
do you think its safe to drink this water?,START_ के तपाईलाई यो पानी पिउन सुरक्षित छ भन्ने लाग्छ? _END
everybody except us knew what was going on.,START_ के भइरहेको छ हामी बाहेक सबैलाई थाहा थियो। _END
germany is about twice the size of uruguay.,START_ जर्मनी उरुग्वे भन्दा दोब्बर ठुलो छ। _END
i cant figure out why you dont like jazz.,START_ तपाईलाई ज्याज किन मन पर्दैन भन्ने कुरा म बुझ्न सक्दिन। _END
i dont want to be involved in that matter.,START_ म यसमा संलग्न हुन चाहन्न। _END
i first used a computer about years ago.,START_ मैले वर्ष अगाडी पहिलो पटक कम्प्युटर चलाएको थिए। _END
i just wanted to see how youve been doing.,START_ म भर्खरै हेर्न चाहे कि तपाईं कस्तो गरिरहनुभएको छ। _END
i think you need to keep your mouth closed.,START_ मलाई लाग्छ कि तपाईंले आफ्नो मुख बन्द राख्नुपर्छ। _END
i thought that tom might be your boyfriend.,START_ टम तिम्रो प्रेमी हुन सक्छ भन्ने सोचेको थिएँ। _END
i thought that we wouldnt have to do that.,START_ मैले सोचेँ कि हामीले त्यसो गर्नु पर्दैन। _END
i want to eat the same thing tom is eating.,START_ म टमले जे खाइरहेको छ त्यही खान चाहन्छु। _END
ill bring you a cup of tea while you wait.,START_ तिमी पर्खँदा म एक कप चिया ल्याइदिन्छु। _END
im sure tom will be ready to do that soon.,START_ टम फ्रान्सेली मा आश्चर्यजनक रूपमा राम्रो छ। _END
its almost three miles from here to there.,START_ यहाँदेखि त्यहाँसम्म करिब तीन किलोमिटर छ। _END
mary joined the army when she was eighteen.,START_ मेरीअठार वर्षको हुँदा सेनामा भर्ना भएकी थिइन्। _END
maybe im the one who should be doing that.,START_ सायद म नै हुँ जसले त्यसो गर्नु पर्छ। _END
tell tom that im working as fast as i can.,START_ टमलाई भन्नुहोस् कि म सकेसम्म छिटो काम गरिरहेको छु। _END
the photographs are the only proof we have.,START_ तस्बिरहरू मात्र हामीसँग प्रमाण हुन्। _END
"this chair was cheap, but its comfortable.","START_ यो कुर्सी सस्तो थियो, तर यो सहज छ। _END"
this is exactly what ive been looking for.,START_ यो ठ्याक्कै मैले खोजेको कुरा हो। _END
this is the only way to solve this problem.,START_ यो समस्या समाधान गर्ने एक मात्र तरिका हो। _END
tom asked mary to take him to the hospital.,START_ उसलाई अस्पताल लैजान टमले मेरीलाई आग्रह गरे। _END
tom doesnt care whether we do that or not.,START_ टमलाई वास्ता छैन कि हामीले त्यसो गर्छौं वा गर्दैनौं। _END
tom looked pretty sick when i last saw him.,START_ मैले अन्तिम पटक देख्दा टम एकदमै बिरामी देखिन्थे। _END
tom said he was glad that you werent hurt.,START_ टमले भने तपाईलाई चोट नलागेकोमा उ खुसि थियो। _END
tom wanted to know who mary was talking to.,START_ टम जान्न चाहन्थे मेरी कोसंग कुरा गर्दै थिहिन्। _END
tom was aware that mary was staring at him.,START_ टमलाई थाहा थियो कि मेरीले उसलाई हेरिरहेकी छिन्। _END
tom was reprimanded for being rude to mary.,START_ टमलाई मेरीसँग असभ्य व्यवहार गरेकोमा हप्काइयो। _END
were worried about what might happen next.,START_ हामी अब के हुन सक्छ भनेर चिन्तित छौं। _END
where is it? ive been searching for hours.,START_ त्यो कहाँ छ? म घण्टौंदेखि खोज्दै छु । _END
did you notice that tom was staring at mary?,START_ के तपाईंले टमले मेरीलाई हेरिरहेको याद गर्नुभयो? _END
do you know exactly what youre looking for?,START_ के तपाईलाई थाहा छ ठ्याकै तपाई के खोज्दै हुनुहुन्छ? _END
how many more days are you planning to stay?,START_ अझै कति दिन बस्ने सोचमा हुनुहुन्छ ? _END
i always have trouble pronouncing that word.,START_ मलाई त्यो शब्द उच्चारण गर्न सधैं गाह्रो हुन्छ। _END
i asked tom why he had never gotten married.,START_ मैले टमलाई सोधेँ किन उसले कहिल्यै बिहे नगरेको। _END
i didnt really like the food that tom made.,START_ मलाई टमले बनाएको खाना मन परेन। _END
i dont understand the meaning of this word.,START_ मैले यो शब्दको अर्थ बुझिन। _END
i think you spend too much time watching tv.,START_ मलाई लाग्छ तपाईं टिभी हेरेर धेरै समय बिताउनुहुन्छ। _END
i want to eat curry rice for supper tonight.,START_ म आज रातको खानाको लागि भात तरकारी खान चाहन्छु। _END
neither tom nor mary wants to do that today.,START_ न टम न मेरी आज त्यो गर्न चाहन्छन्। _END
nobody was listening to what tom was saying.,START_ टमको कुरा कसैले सुनिरहेका थिएनन्। _END
tom asked mary to make him something to eat.,START_ टमले मेरीलाई उसका लागी केही खानेकुरा बनाउन आग्रह गरे। _END
tom doesnt know why mary wanted to do that.,START_ टमलाई थाहा छैन किन मेरीले त्यसो गर्न चाहान्थिन। _END
tom isnt as intelligent as you might think.,START_ टम तपाईले सोचे जस्तो बुद्धिमानी छैन। _END
whos your favorite character in this movie?,START_ यो चलचित्रमा तपाईलाई मन पर्ने पात्र को हो ? _END
why dont we go and see the cherry blossoms?,START_ फूल फुलेको हेर्न जाऔं। _END
why dont we go and see the cherry blossoms?,START_ हानामी मनाउन जाऔं। _END
why dont we go and see the cherry blossoms?,START_ हानामी मनाउन जाने हैन? _END
you probably already know about our company.,START_ सायद तपाईलाई हाम्रो कम्पनी बारेमा पहिले नै थाहा छ। _END
"can i have two hamburgers and a coke, please?",START_ कृपया दुईवटा ह्याम्बर्गर र एउटा कोक दिनुहोस्। _END
have you made plans for your summer vacation?,START_ के तपाईंले आफ्नो गर्मी बिदाको लागि योजना बनाउनुभएको छ? _END
he is amusing himself by playing video games.,START_ उनी भिडियो गेम खेलेर रमाइलो गरिरहेका छन् । _END
he is amusing himself by playing video games.,START_ उ भिडियो गेम खेलेर रमाइलो गरिरहेका छ । _END
how many billionaires are there in the world?,START_ विश्वमा कति अर्बपति छन् ? _END
i didnt realize tom didnt know how to swim.,START_ टम पौडी खेल्न जान्दैनन् भन्ने मलाई थाहा थिएन। _END
i dont have as much money as i used to have.,START_ मसँग पहिलाको जति पैसा छैन। _END
i dont like to use liquid laundry detergent.,START_ मलाई तरल लुगा धुने डिटर्जेन्ट प्रयोग गर्न मन लाग्दैन। _END
i have only one picture of great-grandmother.,START_ मसँग बुढी हजुरआमाको एउटा मात्र तस्वीर छ। _END
i want to spend the rest of my life with you.,START_ म बाँकी जीवन तिमीसँगै बिताउन चाहन्छु। _END
im sorry that i opened your mail by mistake.,START_ मैले गल्तीले तपाईको मेल खोलेकोमा क्षमाप्रार्थी छु। _END
mt. everest is the highest peak in the world.,START_ माउन्ट एभरेष्ट संसारको सबैभन्दा अग्लो चुचुरो हो। _END
please take care of our dog while were away.,START_ कृपया हामी टाढा हुँदा हाम्रो कुकुरको हेरचाह गर्नुहोस्। _END
that bridge took nearly three years to build.,START_ उक्त पुल निर्माणमा करिब तीन वर्ष लागेको थियो। _END
the driver of the car that hit tom was drunk.,START_ टमलाई ठक्कर दिने कारको चालक रक्सीले मातेको थियो। _END
there is a station in the center of the city.,START_ शहर को बीच मा एक स्टेशन छ। _END
there was nobody else in the room except tom.,START_ कोठामा टम बाहेक कोही थिएन। _END
tom is one of the smartest men ive ever met.,START_ टम मैले भेटेको सबैभन्दा चतुर मान्छे मध्ये एक हो। _END
tom is studying to become a marine biologist.,START_ टम एक समुद्री जीवविज्ञानी बन्न अध्ययन गर्दैछ। _END
tom is studying to become a marine biologist.,START_ टम समुद्री जीवविज्ञानी बन्नको लागि अध्ययन गर्दैछ। _END
tom never told me that he was from australia.,START_ टमले मलाई आफू अस्ट्रेलियाबाट आएको कुरा कहिल्यै भनेनन्। _END
"tom speaks three languages, including french.",START_ टम फ्रान्सेली सहित तीन भाषा बोल्छन्। _END
"tom speaks three languages, including french.",START_ टम फ्रेन्च सहित तीन भाषा बोल्छ। _END
tom told me it would be dangerous to do that.,START_ टमले मलाई भने कि यो गर्न खतरनाक हुनेछ। _END
whats the best way to get in touch with you?,START_ तपाईंसँग सम्पर्कमा रहन उत्तम तरिका के हो? _END
whats the weather going to be like tomorrow?,START_ भोलिको मौसम कस्तो रहनेछ? _END
would you ever accept a ride from a stranger?,START_ के तपाइँ कहिल्यै अपरिचित व्यक्तिबाट सवारी स्वीकार गर्नुहुन्छ? _END
"hes a british citizen, but he lives in india.",START_ उनी बेलायती नागरिक हुन् तर उनी भारतमा बस्छन्। _END
i didnt know tom was that good at doing that.,START_ मलाई थाहा थिएन कि टम त्यो गर्नमा राम्रो थियो। _END
i dont think i can do this without your help.,START_ मलाई लाग्दैन कि म तपाईंको सहयोग बिना यो गर्न सक्छु। _END
i dont think tom will ever speak to me again.,START_ मलाई लाग्दैन कि टमले मसँग फेरि कहिल्यै बोल्नेछ। _END
i played the violin when i was in high school.,START_ म हाईस्कूलमा हुँदा भायोलिन बजाउथें । _END
id rather stay at home than go to the movies.,START_ म चलचित्र हेर्न जानु भन्दा घरमै बस्न रुचाउँछु । _END
"im from australia, but i live in new zealand.","START_ म अष्ट्रेलियाबाट हुँ, तर म न्यूजील्याण्डमा बस्छु। _END"
my mother is two years younger than my father.,START_ मेरी आमा बुबा भन्दा दुई वर्ष कान्छी हुनुहुन्छ। _END
my parents died when i was thirteen years old.,START_ म वर्षको हुँदा आमाबुवाको मृत्यु भयो। _END
my parents died when i was thirteen years old.,START_ म वर्षको हुँदा मेरा आमाबुवाको मृत्यु भयो। _END
please put this where children cant reach it.,START_ कृपया बच्चाहरूको पहुँचबाट टाढा राख्नुहोस्। _END
tom always says funny things to make me laugh.,START_ टमले मलाई हँसाउनको लागि सधैं रमाइला कुराहरू भन्छन्। _END
tom couldnt come with us because he was sick.,START_ टम हामीसँग आउन सकेन किनभने ऊ बिरामी थियो । _END
tom gave a sleeping bag to me a few weeks ago.,START_ टमले केही हप्ता अघि मलाई सुत्ने झोला दिए। _END
"tom has borrowed over , dollars from mary.","START_ टमले मेरीबाट , डलरभन्दा बढी ऋण लिएका छन्। _END"
tom is out playing with the neighborhood boys.,START_ टम छिमेकी केटाहरु संग बाहिर खेल्दै छ। _END
tom saw a car parked in front of marys house.,START_ टमले मेरीको घर अगाडि एउटा कार पार्क गरेको देखे। _END
tom says he has never tried eating whale meat.,START_ टम भन्छन् कि उनले कहिल्यै ह्वेलको मासु खाने प्रयास गरेनन्। _END
have you ever eaten anything that toms cooked?,START_ के तपाईंले कहिल्यै टमले बनाएको खाना खानुभएको छ? _END
i have a dog. he is black and his name is tiki.,START_ म संग कुकुर छ। ऊ कालो छ र उसको नाम टिकी हो। _END
i should probably not tell tom that im sleepy.,START_ मैले सायद टमलाई मलाई निद्रा लागेको कुरा भन्नु हुँदैन। _END
i think that car is a little too small for you.,START_ मलाई लाग्छ कि त्यो कार तपाईका लागि अलिकति सानो छ। _END
im not the kind of person that you think i am.,START_ म तिमीले सोचेको जस्तो मान्छे होइन। _END
its nice to see you again after so many years.,START_ धेरै वर्ष पछी फेरी भेट्दा खुशी लाग्यो। _END
let me teach you a simple way to remember that.,START_ म तपाइँलाई सम्झन को लागी एक सरल तरिका सिकाउँछु। _END
"no matter how old you get, you can still learn.",START_ तपाईं जति उमेरको भए पनि सिक्न सक्नुहुन्छ। _END
tom cant see whats written on the blackboard.,START_ टमले ब्ल्याकबोर्डमा के लेखेको छ भनेर देख्न सक्दैन। _END
tom forgot to put the milk in the refrigerator.,START_ टमले फ्रिजमा दूध राख्न बिर्सियो। _END
tom has known mary since she was a little girl.,START_ टमले मेरीलाई सानी हुँदादेखि नै चिनेका छन्। _END
tom said he isnt used to this kind of weather.,START_ टमले भने कि उनलाई यस प्रकारको मौसमको बानी छैन। _END
toms birthday is exactly one month from today.,START_ टमको जन्मदिन ठ्याक्कै एक महिना टाढा छ। _END
whats the distance between boston and chicago?,START_ बोस्टन र शिकागोको बीचको दूरी कति छ? _END
"when i was young, we used to swim in the river.","START_ म सानो छँदा, हामी खोलामा पौडी खेल्थ्यौं । _END"
how long will it take me to walk to the station?,START_ मलाई हिड्दै स्टेशनसम्म पुग्न कति मिनेट लाग्ला? _END
i dont have time to answer all those questions.,START_ मसँग ती सबै प्रश्नहरूको जवाफ दिने समय छैन। _END
i dont think theyve found a cure for that yet.,START_ मलाई लाग्दैन कि उनीहरूले अहिलेसम्म यसको उपचार फेला पारेका छन्। _END
im glad that tom and mary are both on our team.,START_ म खुसी छु कि टम र मेरी दुबै हाम्रो टोलीमा छन्। _END
is there anyone here who hasnt yet eaten lunch?,START_ यहाँ कोही हुनुहुन्छ जसले अहिले सम्म खाजा खाएको छैन? _END
it took nearly three years to build that bridge.,START_ उक्त पुल निर्माणमा करिब तीन वर्ष लागेको थियो। _END
my mother always gets up earlier in the morning.,START_ मेरी आमा सधैं बिहान सबेरै उठ्नुहुन्छ। _END
students from the suburbs come to school by bus.,START_ उपनगरका विद्यार्थीहरू बसबाट विद्यालय आउँछन् । _END
thanks for your suggestion. ill think about it.,START_ तपाईंको सुझावको लागि धन्यवाद। म यसको बारेमा सोच्नेछु। _END
the car parked in front of toms house was blue.,START_ टमको घर अगाडि पार्क गरिएको कार निलो थियो। _END
tom claims he can accurately predict the future.,START_ टमले भविष्यको सही भविष्यवाणी गर्न सक्ने दाबी गर्छन्। _END
tom doesnt often have a chance to speak french.,START_ टमसँग प्राय: फ्रेन्च बोल्ने मौका हुँदैन। _END
"as long as you remember to do that, youll be ok.","START_ जबसम्म तपाइँ त्यो गर्न सम्झनुहुन्छ, तपाइँ ठीक हुनुहुनेछ। _END"
"as requested, we are submitting our final report.","START_ अनुरोध गरे अनुसार, हामी हाम्रो अन्तिम प्रतिवेदन पेश गर्दैछौं। _END"
how old were you when you graduated from college?,START_ तपाईंले कलेजबाट स्नातक गर्दा कति वर्षको हुनुहुन्थ्यो? _END
"i bought three apples, some eggs and some yogurt.","START_ मैले तीनवटा स्याउ, केही अण्डा र केही दही किनेँ। _END"
i didnt think that tom understood what you said.,START_ टमले तपाईले भनेको कुरा बुझ्नुभयो जस्तो मलाई लागेन। _END
im not very likely to find what im looking for.,START_ मैले खोजेको कुरा मैले भेट्टाउन सक्ने धेरै सम्भावना छैन। _END
my grandmother is convalescing in a nursing home.,START_ मेरी हजुरआमा नर्सिङ होममा निको भइरहनुभएको छ। _END
the teacher wrote french words on the blackboard.,START_ शिक्षकले ब्ल्याकबोर्डमा फ्रान्सेली शब्दहरू लेखे। _END
those two shirts are made from the same material.,START_ ती दुई शर्टहरू एउटै सामग्रीबाट बनाइएका हुन्। _END
tom and mary first met at a restaurant in boston.,START_ टम र मेरी पहिलो पटक बोस्टनको एक रेस्टुरेन्टमा भेटेका थिए। _END
tom has a hard time believing anything mary says.,START_ टमलाई मेरीले भनेको कुरा पत्याउन गाह्रो हुन्छ। _END
tom isnt studying french. hes studying english.,START_ टमले फ्रान्सेली भाषा पढिरहेको छैन। ऊ अंग्रेजी पढ्दै छ। _END
tom started learning french when he was thirteen.,START_ टमले तेह्र वर्षको हुँदा फ्रेन्च सिक्न थाले। _END
whats your favorite song in last years top ?,START_ गत वर्षका उत्कृष्ट गीतहरूमध्ये तपाईलाई मन पर्ने गीत कुन हो? _END
i dont think that tom knows how to read or write.,START_ मलाई लाग्दैन कि टमलाई कसरी पढ्ने वा लेख्न भन्ने थाहा छ। _END
i dont think you have to worry about tom anymore.,START_ मलाई लाग्दैन कि तपाईंले अब टमको बारेमा चिन्ता लिनु पर्छ। _END
i know that i wont be allowed to do that anymore.,START_ मलाई थाहा छ मलाई अब त्यसो गर्न दिइने छैन। _END
"im from australia, but now i live in new zealand.","START_ म अष्ट्रेलियाबाट हुँ, तर अहिले म न्यूजील्याण्डमा बस्छु। _END"
"im very sorry, but theres really no alternative.","START_ म धेरै माफी चाहन्छु, तर त्यहाँ कुनै पनि विकल्प छैन। _END"
ive already told tom i dont want him to do that.,START_ मैले पहिले नै टमलाई भनिसकेको छु म उसले त्यसो गरून् भन्ने चाहन्न। _END
"if you continue doing that, youll get in trouble.","START_ यदि तपाईंले त्यसो गरिरहनुभयो भने, तपाईं समस्यामा पर्नुहुनेछ। _END"
"in the first place, we have to decide on the name.",START_ सबैभन्दा पहिले मैले नाम तय गर्नुपर्छ। _END
japan began to import rice from the united states.,START_ जापानले अमेरिकाबाट चामल आयात गर्न थाल्यो। _END
she wants to be a tennis player when she grows up.,START_ उनी ठूली भएपछि टेनिस खेलाडी बन्न चाहन्छिन्। _END
tom and i almost never speak french to each other.,START_ टम र म प्राय: एकअर्कासँग फ्रेन्च बोल्दैनौं। _END
you should take an umbrella with you this morning.,START_ बिहान छाता बोकेर जादा राम्रो हुन्छ। _END
congratulations! youve just won a million dollars!,START_ बधाई छ! तपाईंले भर्खर एक मिलियन डलर जित्नुभएको छ! _END
he walked so fast that i couldnt keep up with him.,START_ ऊ यति छिटो हिँड्यो कि म ऊसंगै रहन सकिन। _END
how much money do you spend on clothing every year?,START_ तपाइँ प्रत्येक वर्ष कपडामा कति खर्च गर्नुहुन्छ? _END
i cant drive anywhere because my cars out of gas.,START_ म कतै ड्राइभ गर्न सक्दिन किनकि मेरो कारको तेल सकिएको छ। _END
i couldnt sleep well because it was noisy outside.,START_ बाहिर कोलाहल भएकोले म राम्ररी सुत्न सकिन। _END
i didnt know that tom was that good at doing that.,START_ मलाई थाहा थिएन कि टम त्यो गर्नमा राम्रो थियो। _END
i dont think these are toms and marys umbrellas.,START_ मलाई लाग्दैन कि यी टम र मेरीका छाताहरु हुन्। _END
i dont usually say anything at our staff meetings.,START_ म प्रायः हाम्रा कर्मचारी बैठकहरूमा केही बोल्दिनँ। _END
i have to return this book to the library tomorrow.,START_ मैले यो पुस्तक भोलि पुस्तकालयमा फिर्ता नगरी हुदैन। _END
i hope ill be able to help you at some other time.,START_ मलाई आशा छ कि म तपाईलाई अर्को पटक मद्दत गर्न सक्छु। _END
i want you to stay in australia until october th.,START_ म तपाईंलाई अक्टोबर सम्म अस्ट्रेलियामा बस्नु भन्ने चाहन्छु। _END
im telling you this because im worried about you.,START_ म तिमीलाई यसो भन्दैछु किनकि म तिम्रो बारेमा चिन्तित छु। _END
its always important to have money in your pocket.,START_ तपाईको खल्तीमा पैसा हुनु सधैं महत्त्वपूर्ण छ। _END
mount everest is the tallest mountain in the world.,START_ माउन्ट एभरेष्ट विश्वको सबैभन्दा अग्लो हिमाल हो। _END
the tallest mountain in the world is mount everest.,START_ संसारको सबैभन्दा अग्लो हिमाल माउन्ट एभरेस्ट हो। _END
there are only two prime numbers between and .,START_ र को बीचमा दुईवटा मात्र रुढ संख्याहरू छन्। _END
tom and mary are having a little financial trouble.,START_ टम र मेरी अलि आर्थिक समस्यामा छन्। _END
tom didnt know that yesterday was marys birthday.,START_ टमलाई थाहा थिएन कि हिजो मेरीको जन्मदिन थियो। _END
tom took a day off from work because he had a cold.,START_ टमले कामबाट एक दिन बिदा लियो किनभने उसलाई चिसो थियो। _END
whats the name of the store where you bought that?,START_ तपाईले त्यो किन्नु भएको पसलको नाम के हो? _END
better be the head of a dog than the tail of a lion.,START_ सिंहको पुच्छर भन्दा कुकुरको टाउको हुनु राम्रो। _END
dont look out the window. concentrate on your work.,START_ झ्याल बाहिर नहेर्नुहोस्। आफ्नो काममा ध्यान दिनुहोस्। _END
i didnt spend as much time studying as i shouldve.,"START_ पढाइमा जति समय दिनुपर्थ्यो, त्यति खर्च गर्न सकिनँ । _END"
i doubt very seriously that tom did that on purpose.,START_ टमले त्यो जानाजानी गरेको हो भन्नेमा मलाई धेरै गम्भीर शंका छ। _END
i know tom doesnt know ive never done that before.,START_ मलाई थाहा छ कि टमलाई थाहा छैन मैले यो पहिले कहिल्यै गरेको छैन। _END
this morning was much cooler than yesterday morning.,START_ हिजो बिहानको तुलनामा आज बिहान निकै चिसो थियो। _END
this morning was much cooler than yesterday morning.,START_ हिजो बिहान हेरी आज बिहान निकै चिसो थियो। _END
tom called his dad to wish him a happy fathers day.,START_ टमले आफ्नो बुबालाई बुबाको दिनको शुभकामना दिन फोन गरे। _END
what are some of the health benefits of eating fish?,START_ माछा खाँदा स्वास्थ्यमा हुने केही फाइदाहरु के के हुन ? _END
where did you take the children yesterday afternoon?,START_ हिजो दिउँसो केटाकेटीलाई कहाँ लैजानुभयो ? _END
"todays my birthday. its my birthday today, too.",START_ आज मेरो जन्मदिन हो। मेरो जन्मदिन पनि आज नै हो। _END
i want to make it clear that i dont want to do that.,START_ म त्यसो गर्न चाहन्न भनेर स्पष्ट पार्न चाहन्छु। _END
sharkskin can be used like the skin of other animals.,START_ सार्कस्किन अन्य जनावरहरूको छाला जस्तै प्रयोग गर्न सकिन्छ। _END
the train wasnt as crowded as i thought it would be.,START_ रेलमा मैले सोचे जस्तो भीड थिएन। _END
theres nothing i like as much as the smell of roses.,START_ मलाई गुलाबको सुगन्ध भन्दा बढी मनपर्ने केहि छैन। _END
tom knows a lot more about that than you might think.,START_ टमलाई तपाईंले सोचेभन्दा धेरै कुरा थाहा छ। _END
tom told mary not to waste her money on such a thing.,START_ टमले मेरीलाई यस्तो कुरामा आफ्नो पैसा खेर नफाल्नु भन्यो । _END
tom was holding a small flashlight in his right hand.,START_ टमले आफ्नो दाहिने हातमा सानो फ्ल्यासलाइट समातिरहेको थियो। _END
"you know that that isnt likely to happen, dont you?","START_ तपाईलाई थाहा छ कि त्यो हुने सम्भावना छैन, हैन? _END"
i havent decided yet whether i will attend the party.,START_ पार्टीमा जाने कि नजाने भन्ने मैले अहिलेसम्म निर्णय गरेको छैन। _END
i heard something interesting from a friend yesterday.,START_ मैले हिजो साथीबाट एउटा रोचक कथा सुनें। _END
i think that everyone should study a foreign language.,START_ मलाई लाग्छ कि सबैले विदेशी भाषा पढ्नुपर्छ। _END
"if you want to, you can eat the rest of the cake, too.","START_ यदि तपाइँ चाहनुहुन्छ भने, तपाइँ बाँकी केक पनि खान सक्नुहुन्छ। _END"
this is a list of products that we dont make anymore.,START_ यो उत्पादनहरूको सूची हो जुन हामीले अब बनाउँदैनौं। _END
tom gave his three-year-old son a puppy for christmas.,START_ टमले आफ्नो वर्षीय छोरालाई क्रिसमसको लागि कुकुरको बच्चा दिए। _END
a number of japanese people travel abroad every summer.,"START_ प्रत्येक बर्षको गर्मीमा, धेरै जापानीहरू विदेश भ्रमण गर्छन्। _END"
dont ever challenge someone whos got nothing to lose.,START_ कसैलाई कहिल्यै चुनौती नदिनुहोस् जससँग गुमाउन केहि छैन। _END
has anyone ever told you what really happened that day?,START_ के त्यो दिन साँच्चै के भयो भनेर कसैले तपाईलाई बताएको छ? _END
"i want to buy a new laptop, but i dont have the money.","START_ म नयाँ ल्यापटप किन्न चाहन्छु, तर मसँग पैसा छैन। _END"
tom and i are planning on going to australia next fall.,START_ टम र म अर्को शरद ऋतुमा अष्ट्रेलिया जाने योजनामा ​​छौं। _END
tom called his father to wish him a happy fathers day.,START_ टमले आफ्नो बुबालाई बुबाको दिनको शुभकामना दिन फोन गरे। _END
tom never knew that mary lived on the bad side of town.,START_ टमलाई कहिल्यै थाहा थिएन कि मेरी सहरको खराब ठाउँ तिर बस्छिन्। _END
what language do you usually use when talking with tom?,START_ तपाइँ सामान्यतया टमसँग कुन भाषामा बोल्नुहुन्छ? _END
i hope that ill be able to help you at some other time.,START_ मलाई आशा छ कि म तपाईलाई अर्को पटक मद्दत गर्न सक्छु। _END
i promised tom that i wouldnt go to boston without him.,START_ मैले टमलाई वाचा गरें कि म उबिना बोस्टन जाने छैन। _END
i think i like eating white rice better than brown rice.,START_ मलाई खैरो चामल भन्दा सेतो चामल खान राम्रो लाग्छ। _END
thats delicious. where did you learn to cook like that?,START_ त्यो स्वादिष्ट छ। यस्तो खाना पकाउन कहाँ सिकेको ? _END
tom and his friends love to get together and play music.,START_ टम र उनका साथीहरू सँगै बस्न र संगीत बजाउन मन पराउँछन्। _END
tom likes boston better than any other place hes lived.,START_ टमले आफू बसेको ठाउँहरु मध्ये बोस्टनलाई धेरै मन पराउँछन्। _END
tom seemed more concerned about the situation than mary.,START_ टम मेरी भन्दा अवस्थाको बारेमा बढी चिन्तित देखिन्थे। _END
has anyone ever told you youve got serious trust issues?,START_ के कसैले तपाईंलाई कहिल्यै भन्यो कि तपाईंसँग गम्भीर विश्वास मुद्दाहरू छन्? _END
i knew that tom wouldnt be able to find a job in boston.,START_ मलाई थाहा थियो कि टमले बोस्टनमा जागिर पाउन सक्नेछैनन्। _END
tom had forgotten his umbrella so i lent him one of mine.,START_ टमले आफ्नो छाता बिर्सेको थियो त्यसैले मैले उसलाई मेरो एउटा दिएँ। _END
tom should probably not tell mary what she wants to know.,START_ टमले सायद मेरीलाई उनी के जान्न चाहन्छन् भनेर बताउन हुँदैन। _END
tom told everybody he and mary were going to get married.,START_ टमले सबैलाई बताए कि उनी र मेरी विवाह गर्न जाँदैछन्। _END
who do you think was watching tv in this room last night?,START_ हिजो राती यो कोठामा कसले टिभी हेरिरहेको थियो जस्तो लाग्छ? _END
i have to tell her that the phone rang while she was gone.,START_ मैले उसलाई भन्नु पर्छ कि उनी गएको बेला फोनको घण्टी बज्यो। _END
i hope that i will be able to help you at some other time.,START_ मलाई आशा छ कि म तपाईलाई अर्को पटक मद्दत गर्न सक्छु। _END
the last time we saw each other was about three years ago.,START_ हामीले एकअर्कालाई अन्तिम पटक देखेका थियौं लगभग तीन वर्षअघि। _END
"tom has gone to get a haircut, but he should be back soon.","START_ टम कपाल काट्न गएको छ, तर ऊ चाँडै फर्कनु पर्छ। _END"
tom might not have enough money to buy everything he wants.,START_ टमसँग आफूले चाहेको सबै कुरा किन्न पर्याप्त पैसा नहुन सक्छ। _END
